Index,Name,Price,Original Price,Description,Rating,type
21,I Kall IK409 - 4.1 CHANNEL - BT 60 W Bluetooth Home The...,2099,2999,"Black, 4.1 Channel",3.9,bluetoothspeaker
22,boAt Aavante Bar 2000 160 W Bluetooth Soundbar,9999,24990,"Premium Black, 2.1 Channel",4.4,bluetoothspeaker
23,boAt Aavante Bar 500 Portable Soundbar 10 W Bluetooth H...,1599,2990,"Black, Mono Channel",4.2,bluetoothspeaker
24,Mivi Play 5 W Portable Bluetooth Speaker,899,1999,"Black, Mono Channel",4.2,bluetoothspeaker
25,boAt Stone 350 10 W Bluetooth Speaker,1699,3490,"Blue, Mono Channel",4.3,bluetoothspeaker
26,F FERONS Wireless rechargeable portable Premium Dj bass...,426,1500,"ARMY PRINT, Stereo Channel",3.9,bluetoothspeaker
27,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,1199,2599,"Blue, Stereo Channel",4.1,bluetoothspeaker
28,etmax NANO PLUS 30 W Bluetooth Home Theatre,949,2099,"Black, Stereo Channel",3.9,bluetoothspeaker
29,Mivi Fort S24 Soundbar with FM Mode and 2 full range dr...,1999,3999,"Black, 2.0 Channel",4.2,bluetoothspeaker
30,JBL Professional 104 Compact Desktop Reference 60 W Blu...,5999,26799,"Black, Stereo Channel",4.5,bluetoothspeaker
31,MOTOROLA AmphisoundX with HDMI Arc 120 W Bluetooth Home...,7499,17999,"Black, 4.1 Channel",4.2,bluetoothspeaker
32,I Kall IK- 666 Bluetooth 80 W Bluetooth Home Theatre,2199,2999,"Black, 5.1 Channel",3.8,bluetoothspeaker
33,Soundcore by Anker Select Pro 30 W Bluetooth Party Spea...,4999,10999,"Black, Stereo Channel",4.5,bluetoothspeaker
34,F FERONS Wireless rechargeable portable Premium Dj bass...,445,1500,"BLUE CAMAOUFLAGE, Stereo Channel",3.9,bluetoothspeaker
35,"JBL Go Essential with Rich Bass, 5 Hrs Playtime, IPX7 W...",1799,2999,"Black, Mono Channel",4.1,bluetoothspeaker
36,"WOOS Best Karaoke Speaker Thunder High Bass Power,Dj Li...",898,1299,"Black, Stereo Channel",3.7,bluetoothspeaker
37,boAt Blitz 2000 Multimedia 100 W Bluetooth Home Theatre,4999,8990,"Premium Black, 2.1 Channel",4.2,bluetoothspeaker
38,ZEBRONICS ZEB-SOUND FEAST 500 70 W Bluetooth Party Spea...,4499,9499,"Black, Stereo Channel",4.2,bluetoothspeaker
39,JBL Flip Essential IPX7 Waterproof 16 W Bluetooth Speak...,5999,8999,"Grey, Stereo Channel",4.4,bluetoothspeaker
40,F FERONS Powerpact bass & stereo audio color changIng l...,413,900,"Black, Stereo Channel",4,bluetoothspeaker
41,MZ M3 PORTABLE BLUETOOTH MINI SPEAKER Dynamic Metal Sou...,459,1199,"Multicolor, Stereo Channel",4,bluetoothspeaker
42,F FERONS Wireless rechargeable portable Premium bass Mu...,425,1500,"Black, Stereo Channel",3.9,bluetoothspeaker
43,Boult Audio BassBox Arc 5 W Bluetooth Speaker,1199,3999,"Green, Mono Channel",3.8,bluetoothspeaker
44,ZEBRONICS ZEB-BT 6590 RUCF 65 W Bluetooth Home Theatre,3699,4999,"Black, 5.1 Channel",3.9,bluetoothspeaker
45,F FERONS 100% GOOD QUALITY A005|3D Thumping sound| Spla...,379,800,"Black, Stereo Channel",4,bluetoothspeaker
46,KRISONS Polo Red 7.1 |Home Theater 7.1|Bluetooth|AUX|FM...,2790,4999,"Black, Red, 7.1 Channel",4,bluetoothspeaker
47,"GOVO GOCRUSH 421 Wireless, Auxiliary, Coaxial Portable ...",1899,4499,"Platinum Black, Stereo Channel",4,bluetoothspeaker
48,boAt Stone 650 10 W Bluetooth Speaker,1919,4990,"Charcoal Black, Stereo Channel",4.3,bluetoothspeaker
49,boAt Stone 190F 5 W Bluetooth Speaker,1299,2999,"Black, Stereo Channel",4.4,bluetoothspeaker
50,XEWISS original RGB Music bulb 04 bluetooth speaker wit...,379,899,"White, Stereo Channel",3.9,bluetoothspeaker
51,I Kall K22 40 W Bluetooth Home Theatre,1399,2499,"Black, 2.1 Channel",3.8,bluetoothspeaker
52,Wings CentreStage 110 20 W Bluetooth Soundbar,1399,2999,"Black, 2.0 Channel",4.2,bluetoothspeaker
53,boAt Stone Grenade 5 W Portable Bluetooth Speaker,1499,3990,"Charcoal Black, Mono Channel",4.2,bluetoothspeaker
54,boAt Stone 1200F Sunburn Edition with upto 9 Hours Play...,3999,6990,"Purple, Stereo Channel",4.2,bluetoothspeaker
55,Mobistreet Mini Boost Smart Wireless Portable Bluetooth...,404,1199,"Black, Blue, Stereo Channel",0,bluetoothspeaker
56,Wings CentreStage 210 20 W Bluetooth Laptop/Desktop Spe...,1399,3999,"Black, 2.0 Channel",4.1,bluetoothspeaker
57,Mivi Play 5 W Portable Bluetooth Speaker,899,1999,"Blue, Mono Channel",4.2,bluetoothspeaker
58,Kpdp Wireless Portable Small Bluetooth Speakers with 5W...,509,2599,"Purple, 2.0 Channel",3.7,bluetoothspeaker
59,Megaloyalty TG-113 Wireless Outdoor Digital Dynamic Sou...,459,999,"ARMY, Stereo Channel",0,bluetoothspeaker
60,SONY SRS-XB13 Bluetooth Speaker,3689,4990,"Black, Mono Channel",4,bluetoothspeaker
61,kluzie 100% BEST QUALITY LZ-3102|3D sound |Splashproof ...,495,800,"Black, Stereo Channel",4.2,bluetoothspeaker
62,I Kall IK2222 Bluetooth Home Theatre,2499,4999,"Black, Mono Channel",3.8,bluetoothspeaker
63,Megaloyalty TG-113 3D Dynamic Boost Sound Wireless Spla...,459,999,"Red, Stereo Channel",0,bluetoothspeaker
64,ZEBRONICS Zeb JUKE BAR 4050 compact soundbar with (4'')...,4999,9999,"Black, 2.1 Channel",4.1,bluetoothspeaker
65,Papa Protect Papa Mighty 15 W Bluetooth Home Audio Spea...,934,2799,"Black, 5.1 Channel",3.9,bluetoothspeaker
66,CIHLEX NEW 2021 A005 Dolby sound Bass With Disco Color ...,644,2199,"Black, Stereo Channel",3.9,bluetoothspeaker
67,Megaloyalty TG-113 3D Wireless Dynamic Beat Sound Louds...,459,999,"Blue, Stereo Channel",0,bluetoothspeaker
68,boAt Stone 350 10 W Bluetooth Speaker,1699,3490,"Red, Mono Channel",4.3,bluetoothspeaker
69,QUANTUM Sonotrix 41 Wireless Portable Bluetooth Speaker...,599,1499,"Black, Stereo Channel",4.9,bluetoothspeaker
70,Zoook ZK-Gladiator 55 W Bluetooth Party Speaker,2799,4999,"Black, Stereo Channel",4.1,bluetoothspeaker
71,GOVO COCRUSH 410 4 W Bluetooth Speaker,1199,3999,"Platinum Black, Stereo Channel",4.2,bluetoothspeaker
72,AMERA BLUETOOTHMUSIC-BULB RGB BULB 18 W Bluetooth Home ...,359,599,"White, Stereo Channel",3.9,bluetoothspeaker
73,boAt Aavante Bar 550 Portable Soundbar 16 w Bluetooth H...,1999,3990,"Black, Mono Channel",3.7,bluetoothspeaker
74,PHILIPS SPA8140B/94 38 W Bluetooth Home Theatre,3999,6490,"Black, 5.1 Channel",4.1,bluetoothspeaker
75,Dyanora Thunder DY-BT10-01 10 W Bluetooth Speaker,1104,2499,"Black Red, Stereo Channel",4.1,bluetoothspeaker
76,Varni MS112 Super Bass Wireless with RGB Light 5 W Blue...,424,1999,"Multicolor, Stereo Channel",4,bluetoothspeaker
77,JBL GO3 4.2 W Bluetooth Speaker,3144,4499,"Black, Mono Channel",4.4,bluetoothspeaker
78,Zoook Rocker Thunder Pro 30 W Bluetooth Party Speaker,2997,3999,"Black, Stereo Channel",4,bluetoothspeaker
79,Dyanora Thunder DY-BT16-01 6 W Bluetooth Speaker,974,2499,"Black Yellow, Stereo Channel",3.5,bluetoothspeaker
80,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,1199,2799,"Red Camo, Stereo Channel",4.1,bluetoothspeaker
81,AMERA BLUETOOTHMUSIC-BULB RGB BULB 18 W Bluetooth Home ...,359,599,"White, Stereo Channel",3.9,bluetoothspeaker
82,ZEBRONICS Zeb-Twist 5.1 90 W Bluetooth Home Theatre,3299,5999,"Black, 5.1 Channel",3.6,bluetoothspeaker
83,Boult Audio BassBox Arc 5 W Bluetooth Speaker,1199,3999,"Green, Mono Channel",3.8,bluetoothspeaker
84,Mivi Roam2 5 W Bluetooth Speaker,1199,2999,"Black, Mono Channel",4.3,bluetoothspeaker
85,F FERONS Powerpact bass & stereo audio color changIng l...,377,900,"Red, 4.1 Channel",4,bluetoothspeaker
86,MZ A006 (PORTABLE BLUETOOTH SPEAKER) 2200mAh Battery 10...,629,1799,"Black, Stereo Channel",4,bluetoothspeaker
87,Ubon SP-8035 5 W Bluetooth Speaker,699,1699,"Grey, Mono Channel",0,bluetoothspeaker
88,Kpdp Wireless Portable Small Bluetooth Speakers with 5W...,509,2599,"Purple, 2.0 Channel",3.7,bluetoothspeaker
89,Varni MS112 Super Bass Wireless with RGB Light 5 W Blue...,424,1999,"Multicolor, Stereo Channel",4,bluetoothspeaker
90,SONY HT-S20R Dolby Digital 400 W Bluetooth Soundbar,17800,23990,"Black, 5.1 Channel",4.4,bluetoothspeaker
91,Mobistreet Mini Boost Smart Wireless Portable Bluetooth...,404,1199,"Black, Blue, Stereo Channel",0,bluetoothspeaker
92,9 TECH 9tech950 9500 W Bluetooth Home Theatre,3399,9999,"Brown, 5.1 Channel",0,bluetoothspeaker
93,Intex MM Speaker 2.1 CRYSTAL FMUB 45 W Bluetooth Home T...,2715,3999,"Black, 2.1 Channel",4.1,bluetoothspeaker
94,"Mi Outdoor Upto 20 Hrs Battery Life, Dynamic Sound Effe...",1499,1999,"Black, Mono Channel",4.2,bluetoothspeaker
95,Megaloyalty TG-113 Wireless Outdoor Digital Dynamic Sou...,459,999,"ARMY, Stereo Channel",0,bluetoothspeaker
96,PHILIPS MMS2550B/94 Dhoom 28 W Bluetooth Home Theatre,4130,5390,"Black, 2.1 Channel",4.2,bluetoothspeaker
97,F&D F550X 56 W Bluetooth Home Theatre,4799,5490,"Black, 2.1 Channel",4.3,bluetoothspeaker
98,boAt Stone 300 5 W Bluetooth Speaker,1399,3490,"Black, Mono Channel",4.3,bluetoothspeaker
99,Megaloyalty TG-113 3D Dynamic Boost Sound Wireless Spla...,459,999,"Red, Stereo Channel",0,bluetoothspeaker
100,Wings CentreStage 210 20 W Bluetooth Laptop/Desktop Spe...,1399,3999,"Black, 2.0 Channel",4.1,bluetoothspeaker
101,"ZSIV A006 USB Charging, Portable, BASS drum, TF card, F...",664,2199,"Black, Stereo Channel",3.9,bluetoothspeaker
102,MZ M10 (PORTABLE BLUETOOTH MINI SPEAKER) Dynamic Metal ...,529,1599,"Multicolor, Stereo Channel",4.1,bluetoothspeaker
103,I Kall IK- 666 Bluetooth 80 W Bluetooth Home Theatre,2199,2999,"Black, 5.1 Channel",3.8,bluetoothspeaker
104,Mivi Play 5 W Portable Bluetooth Speaker,899,1999,"Blue, Mono Channel",4.2,bluetoothspeaker
105,Zoook Rocker Thunder Pro 30 W Bluetooth Party Speaker,2997,3999,"Black, Stereo Channel",4,bluetoothspeaker
106,"ZEBRONICS ZEB-COUNTY 2 Portable TWS Wireless Speaker,10...",549,999,"Black, Mono Channel",4,bluetoothspeaker
107,Megaloyalty TG-113 3D Wireless Dynamic Beat Sound Louds...,459,999,"Blue, Stereo Channel",0,bluetoothspeaker
108,Gizmore Gizbar 900 2.0 Channel Home Theatre Soundbar wi...,999,2299,"Black, 2.0 Channel",4,bluetoothspeaker
109,ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop S...,1199,2799,"Ice Camo, Stereo Channel",4.1,bluetoothspeaker
110,"PTron Musicbot Evo with 10Hrs Playtime, Punchy Bass & A...",999,3999,"Black, 2.0 Channel",3.7,bluetoothspeaker
111,Dyanora Thunder DY-BT10-01 10 W Bluetooth Speaker,1104,2499,"Black Red, Stereo Channel",4.1,bluetoothspeaker
112,Intex 2.1 Bang Plus FMUB OS 54 W Bluetooth Home Theatre,2677,3999,"Black, 2.1 Channel",4.2,bluetoothspeaker
113,JBL GO3 4.2 W Bluetooth Speaker,3299,4499,"Blue, Mono Channel",4.4,bluetoothspeaker
114,ZEBRONICS ZEB-FEEL 4 60 W Bluetooth Home Theatre,2499,3299,"Black, 4.1 Channel",3.8,bluetoothspeaker
115,Dyanora Thunder DY-BT16-01 6 W Bluetooth Speaker,974,2499,"Black Yellow, Stereo Channel",3.5,bluetoothspeaker
116,JBL GO3 4.2 W Bluetooth Speaker,3144,4499,"Black, Mono Channel",4.4,bluetoothspeaker
117,MOTOROLA AmphisoundX with HDMI Arc 120 W Bluetooth Soun...,5499,11999,"Metallic grey, 2.1 Channel",4.2,bluetoothspeaker
118,boAt Stone 190F 5 W Bluetooth Speaker,1299,2999,"Red, Stereo Channel",4.4,bluetoothspeaker
119,Mivi Roam2 5 W Bluetooth Speaker,1199,2999,"Red, Mono Channel",4.3,bluetoothspeaker
120,I Kall IK-2222 Bluetooth Tower Speaker,2499,4999,"Black, 7.1 Channel",3.7,bluetoothspeaker
121,MZ M3 PORTABLE BLUETOOTH MINI SPEAKER Dynamic Metal Sou...,459,1199,"Black, Stereo Channel",4.2,bluetoothspeaker
122,boAt Stone 500 with RGB lights 10 W Bluetooth Speaker,1999,2990,"Green, Stereo Channel",3.8,bluetoothspeaker
123,Boult Audio BassBox Arc 5 W Bluetooth Speaker,1199,3999,"Green, Mono Channel",3.8,bluetoothspeaker
124,SONY SA-D20 60 W Bluetooth Home Theatre,7450,7990,"Black, 2.1 Channel",4.4,bluetoothspeaker
125,Sulfur Powerpact Stereo Audio deep bass Portable Rechar...,472,1000,"Black, 4.1 Channel",3.8,bluetoothspeaker
126,Intex 2.1 Bang Plus FMUB OS 54 W Bluetooth Home Theatre,2677,3999,"Black, 2.1 Channel",4.2,bluetoothspeaker
127,TimbreSonic Portable Bluetooth Speaker ACE| Bluetooth V...,899,2499,"Black, Stereo Channel",3.9,bluetoothspeaker
128,I Kall Ik888 60 W Bluetooth Home Theatre,2199,2999,"Black, 5.1 Channel",3.8,bluetoothspeaker
129,MUSIC WINDOWS 5.1_SPEAKER/BLK/2 60 W Bluetooth Home The...,1754,2499,"Black, 5.1 Channel",3.6,bluetoothspeaker
130,"Mivi Fort S100 with 2 in-built subwoofers, Made in Indi...",4999,9999,"Black, 2.2 Channel",4.3,bluetoothspeaker
131,GOVO COCRUSH 410 4 W Bluetooth Speaker,1199,3999,"Platinum Black, Stereo Channel",4.2,bluetoothspeaker
132,9 TECH 9tech950 9500 W Bluetooth Home Theatre,3399,9999,"Brown, 5.1 Channel",0,bluetoothspeaker
133,F&D A521X 52 W Bluetooth Home Theatre,4399,5490,"Black, 2.1 Channel",4.3,bluetoothspeaker
134,SAREGAMA Carvaan Hindi 6 W Bluetooth Speaker,5990,6490,"Porcelain White, Stereo Channel",4.5,bluetoothspeaker
135,Ubon SP-185 10 W Bluetooth Speaker,799,1490,"Grey, Stereo Channel",4.1,bluetoothspeaker
136,RECTITUDE Karaoke Speaker With Mic Super Bass Bluetooth...,636,1599,"Black, Stereo Channel",4,bluetoothspeaker
137,TOPLUS TP-810DT Stereo 35 W Bluetooth Home Theatre,999,2400,"Black, Stereo Channel",4.7,bluetoothspeaker
138,MOTOROLA AmphisoundX with HDMI Arc 150 W Bluetooth Home...,8999,20999,"Black, 5.1 Channel",4.1,bluetoothspeaker
139,Ubon SP-8035 5 W Bluetooth Speaker,699,1699,"Grey, Mono Channel",0,bluetoothspeaker
140,ZSIV Dj Bass Bar Studio Bluetooth Soundbar Moviebar Par...,996,2699,"Black, 5.1 Channel",4,bluetoothspeaker
141,INFINITY by Harman Fuze Pint 2.5 W Bluetooth Speaker,899,1999,"Black, Mono Channel",4.1,bluetoothspeaker
142,MZ M3 (PORTABLE BLUETOOTH MINI SPEAKER) Dynamic Metal S...,459,1199,"Multicolor, Stereo Channel",3.9,bluetoothspeaker
143,Mobistreet Mini Boost Smart Wireless Portable Bluetooth...,404,1199,"Black, Blue, Stereo Channel",0,bluetoothspeaker
144,APPLE HomePod Mini with Siri Assistant Smart Speaker,8499,9900,White,4.5,bluetoothspeaker
145,Zoook Boombox plus 32 W Portable Bluetooth Party Speake...,2199,3499,"Black, Stereo Channel",4.2,bluetoothspeaker
146,Mivi Play 5 W Portable Bluetooth Speaker,899,1999,"Turquoise, Mono Channel",4.2,bluetoothspeaker
147,Megaloyalty TG-113 Wireless Outdoor Digital Dynamic Sou...,459,999,"ARMY, Stereo Channel",0,bluetoothspeaker
148,ATARC G-113 Premium Shockproof & Bluetooth Speaker C1 1...,486,1999,"Black, Stereo Channel",3.8,bluetoothspeaker
149,PTron Fusion 10W Bluetooth Speaker 10 W Bluetooth Speak...,1019,3000,"Black/Gold, Stereo Channel",4.3,bluetoothspeaker
150,Mi MDZ-36-DB with Upto 13hrs of Playback Time & IPX7 Wa...,2499,3499,"Black, Mono Channel",3.9,bluetoothspeaker
151,Megaloyalty TG-113 3D Dynamic Boost Sound Wireless Spla...,459,999,"Red, Stereo Channel",0,bluetoothspeaker
152,SONY SRS-XB13 Bluetooth Speaker,3990,4990,"Blue, Mono Channel",4,bluetoothspeaker
153,Aroma Studio 38 5 W Bluetooth Speaker,509,1499,"Black, Stereo Channel",4.1,bluetoothspeaker
154,Classic CESR-25000CL APEX TOWER 1st 97 W Bluetooth Towe...,3875,7699,"Black, 5 Way Speaker Channel",3.9,bluetoothspeaker
155,Megaloyalty TG-113 3D Wireless Dynamic Beat Sound Louds...,459,999,"Blue, Stereo Channel",0,bluetoothspeaker
156,I Kall IK411 - 4.1 CHANNEL - BT 70 W Bluetooth Home The...,2099,2999,"Black, 4.1 Channel",3.8,bluetoothspeaker
157,LOUDSY HAVY Powerful Sound Audio Extra Bass Home Theatr...,3990,9999,"Black, 5.1 Channel",3.7,bluetoothspeaker
158,"LG LK72B, Deep Bass, Bluetooth, Optical, USB, SD Card a...",4499,4990,"Black, 2.1 Channel",4.3,bluetoothspeaker
159,I Kall IK- 666 Bluetooth 80 W Bluetooth Home Theatre,2199,2999,"Black, 5.1 Channel",3.8,bluetoothspeaker
160,Mivi Play 5 W Portable Bluetooth Speaker,899,1999,"White, Mono Channel",4.2,bluetoothspeaker
161,boAt Stone 500 with RGB lights 10 W Bluetooth Speaker,1999,2990,"Black, Stereo Channel",3.8,bluetoothspeaker
162,F&D A140X 37 W Bluetooth Home Theatre,3299,4990,"Black, 2.1 Channel",4.2,bluetoothspeaker
163,Boult Audio BassBox Arc 5 W Bluetooth Speaker,1199,3999,"Green, Mono Channel",3.8,bluetoothspeaker
164,boAt Stone 260 4 W Portable Bluetooth Speaker,1499,2490,"Prism, Mono Channel",4.4,bluetoothspeaker
165,KRISONS Polo Bluetooth Home Theatre,2790,3990,"Black, 7.1 Channel",3.9,bluetoothspeaker
166,BeatsJoy BeatsJoy Boomer power 2000W Bluetooth tower sp...,2599,8999,"Black, 2.1 Channel",0,bluetoothspeaker
167,"GOVO GOCRUSH 421 Wireless, Auxiliary, Coaxial Portable ...",1299,4499,"Platinum Black, Stereo Channel",4,bluetoothspeaker
168,etmax NANO SHARK GOLD Bluetooth 35 W Bluetooth Home The...,901,2290,"Silver, Stereo Channel",3.8,bluetoothspeaker
169,Varni MS112 Super Bass Wireless with RGB Light 5 W Blue...,424,1999,"Blue, Stereo Channel",4,bluetoothspeaker
170,Dotsun My Dj 3400 W Bluetooth Home Theatre,3751,6499,"Black, 5 Way Speaker Channel",4,bluetoothspeaker
171,Mobistreet Mini Boost Smart Wireless Portable Bluetooth...,404,1199,"Black, Blue, Stereo Channel",0,bluetoothspeaker
172,ZSIV Dj Bass Bar Studio Bluetooth Soundbar Moviebar Par...,996,2699,"Black, 5.1 Channel",4,bluetoothspeaker
173,Aroma Studio 38 5 W Bluetooth Speaker,509,1499,"Black, Stereo Channel",4.1,bluetoothspeaker
174,CHG Bluetooth Speakers Portable Small Pocket Size Super...,575,799,"Black, Stereo Channel",5,bluetoothspeaker
175,Megaloyalty TG-113 Wireless Outdoor Digital Dynamic Sou...,459,999,"ARMY, Stereo Channel",0,bluetoothspeaker
176,I Kall Ik888 60 W Bluetooth Home Theatre,2199,2999,"Black, 5.1 Channel",3.8,bluetoothspeaker
177,ZEBRONICS INDIE 105 W Bluetooth Home Theatre,5999,7299,"Black, 4.1 Channel",4.2,bluetoothspeaker
178,Portronics SoundDrum P 20 W Bluetooth Speaker,2499,3499,"Blue, Stereo Channel",4,bluetoothspeaker
179,Megaloyalty TG-113 3D Dynamic Boost Sound Wireless Spla...,459,999,"Red, Stereo Channel",0,bluetoothspeaker
180,"ZEBRONICS Zeb-Action TWS Wireless Portable Speaker,12h*...",1199,1699,"Black, Stereo Channel",3.7,bluetoothspeaker
181,ZEBRONICS ZEB-COUNTY 3 W Bluetooth Speaker,810,999,"Black, Mono Channel",4.1,bluetoothspeaker
182,boAt Stone 190F 5 W Bluetooth Speaker,1299,2999,"Blue, Stereo Channel",4.4,bluetoothspeaker
183,"Ubon Truly Wireless Speaker SP-6600 Tashan Series, Dual...",1199,2499,"Red, 2.0 Channel",0,bluetoothspeaker
184,Syska BT4070X 4 W Bluetooth Speaker,999,1499,"Black, Stereo Channel",4.1,bluetoothspeaker
185,Sulfur Best Buy Ultra DJ Sound Blast Portable Best Blue...,529,1500,"Black, Stereo Channel",3.9,bluetoothspeaker
186,Jeteck A&O 105-flashlight Speakers/Bluetooth Speaker an...,499,1999,"Black, Stereo Channel",4.2,bluetoothspeaker
187,Megaloyalty TG-113 3D Wireless Dynamic Beat Sound Louds...,459,999,"Blue, Stereo Channel",0,bluetoothspeaker
188,PTron Quinto Portable Mini with 6Hrs Playtime 5 W Bluet...,799,2899,"Black, Mono Channel",3.9,bluetoothspeaker
189,CIHLEX E-91 Home Theater Long Life Battery Backup Dj Sp...,949,2699,"Black, Stereo Channel",3.7,bluetoothspeaker
190,Dotsun Dotsun Pearl 2400 W Bluetooth Tower Speaker,2621,4499,"Black, 3 Channel",3.7,bluetoothspeaker
191,I Kall IK409 - 4.1 CHANNEL - BT 60 W Bluetooth Home The...,2099,2999,"Black, 4.1 Channel",3.9,bluetoothspeaker
192,Zoook ZK-Gladiator 55 W Bluetooth Party Speaker,2799,4999,"Black, Stereo Channel",4.1,bluetoothspeaker
193,SAREGAMA Carvaan Hindi Bluetooth speaker 6 W Bluetooth ...,6390,6990,"Oak Wood Brown, Stereo Channel",4.5,bluetoothspeaker
194,ZEBRONICS Zeb County 3 3 W Bluetooth Speaker,669,999,"Yellow, Mono Channel",3.9,bluetoothspeaker
195,Dyanora Thunder DY-BT10-01 10 W Bluetooth Speaker,1104,2499,"Black Red, Stereo Channel",4.1,bluetoothspeaker
196,Oxhox FLIP 3D Blast Sound + 10 W IPX7 Waterproof Blueto...,389,1499,"Red, 5.1 Channel",3.7,bluetoothspeaker
197,SAMSUNG HW-T400/XL 40 W Bluetooth Soundbar,6799,10990,"Black, 2.0 Channel",4.3,bluetoothspeaker
198,Treadmill HOT SELLING WS-887 sub woofer Sound Box Loud ...,341,1000,"Red, 5.1 Channel",3.8,bluetoothspeaker
199,Dyanora Thunder DY-BT16-01 6 W Bluetooth Speaker,974,2499,"Black Yellow, Stereo Channel",3.5,bluetoothspeaker
200,ghar ki khushiya Multicolor smart bulb with bluetooth m...,379,1599,"White, Stereo Channel",4.3,bluetoothspeaker
201,SAMSUNG HW-T45E/XL With Wireless Subwoofer 200 W Blueto...,11999,14999,"Black, 2.1 Channel",4.1,bluetoothspeaker
202,"Dopshop 2.0 Multimedia Speaker with Aux Connectivity,US...",699,1199,"Black, 2.0 Channel",3.8,bluetoothspeaker
203,Boult Audio BassBox Arc 5 W Bluetooth Speaker,1199,3999,"Green, Mono Channel",3.8,bluetoothspeaker
204,ZSIV Dj Mini Speaker 3D Bass New Arrival Wireless Bluet...,1029,2949,"Black, Stereo Channel",4,bluetoothspeaker
205,JBL GO2 Portable Bluetooth Speaker,2699,2999,"Black, Mono Channel",4.4,bluetoothspeaker
206,HASTAGG Best Buy 4D Pro Bass Wireless Speaker With Led ...,1079,2000,"Black, 5.1 Channel",3.7,bluetoothspeaker
207,Ubon SP-185 10 W Bluetooth Speaker,799,1490,"Grey, Stereo Channel",4.1,bluetoothspeaker
208,ATARC TG-113 Ultra 3D Dynamic Thunder Sound With High B...,481,1499,"Blue, Stereo Channel",4.1,bluetoothspeaker
209,Classic CESR-25000CL APEX TOWER 1st 97 W Bluetooth Towe...,3875,7699,"Black, 5 Way Speaker Channel",3.9,bluetoothspeaker
210,CHG Bluetooth Speakers Portable Small Pocket Size Super...,429,699,"Blue, Stereo Channel",3.4,bluetoothspeaker
211,Mobistreet Mini Boost Smart Wireless Portable Bluetooth...,404,1199,"Black, Blue, Stereo Channel",0,bluetoothspeaker
212,PTron Quinto Evo Portable with 12Hrs Playback time 8 W ...,849,3199,"Blue, Stereo Channel",4,bluetoothspeaker
